top_color,bottom_color
#DC143C,"#000000, #FA9AAF, #671600, #FD6363"
#FF7F50,"#FDAE63, #983248, #FFFFFF, #FCE0BB"
#FF6347,"#FFBA7A, #6E031A, #F14242, #FF5C5C"
#FFD700,"#BDA09D, #FFFFFF, #FFA662, #FAFFA2"
#FFF44F,"#FFFFFF, #000000, #808080, #A52A2A"
#228B22,"#000000, #B6FFD6, #00894E, #FAFFA2"
#808000,"#F7FAB1, #85DCAB, #000000, #2A6200"
#2E8B57,"#FFFFFF, #85DCAB, #5F655A, #4CF1B8"
#40E0D0,"#000000, #1B5D80, #84FFB3, #2E906D"
#008080,"#FFFEFE, #AEFFCA, #70FFE0, #1B674C"
#87CEEB,"#BABABA, #B5FFE8, #2C3E64, #3B7FBB"
#4682B4,"#F7F7F7, #8DC1B0, #A5C2FF, #002F58"
#000080,"#B0B0B0, #7FCCDB, #8A7DFF, #6F05B0"
#191970,"#FFFFFF, #80A3DC, #C07DFF, #0661B1"
#4B0082,"#E0B4FF, #E4E4E4, #988CFF, #0558B0"
#E6E6FA,"#FFD9B7, #A94F01, #F56C5F, #452305"
#EE82EE,"#FFD9B7, #A94F01, #F5A85F, #452305"
#FF00FF,"#FFD9B7, #B6A18F, #FCC28B, #2A1400"
#DA70D6,"#FFE49F, #D97621, #7D7415, #341900"
#D8BFD8,"#FFD6AD, #CC573F, #000000, #6F3600"
#DDA0DD,"#B9A0DE, #AB506D, #000000, #733B73"
#FF69B4,"#D8D7DA, #FF6998, #000000, #F490FF"
#FF1493,"#FFFFFF, #FF6998, #000000, #F490FF"
#B22222,"#B35522, #650000, #000000, #B3225C"
#FA8072,"#B35522, #650000, #000000, #B3225C"
#F4A460,"#B35522, #650000, #000000, #F5785F"
#D2691E,"#FFB48C, #510E0E, #000000, #FFB977"
#A0522D,"#FFAD82, #FFDC8B, #ABABAB, #FFBB7C"
#DAA520,"#F5F5F5, #000000, #FFDD88, #FFBB7C"
#CD853F,"#422100, #000000, #FCC997, #FFF2E7"
#D2B48C,"#42280F, #000000, #FFB770, #D1998C"
#F0E68C,"#748C50, #FFFFFD, #FFB770, #C3E69C"
#BDB76B,"#BDB76B, #000000, #9EBD6C, #FAEE83"
#708090,"#708090, #A0A0A0, #134F8A, #000000"
#778899,"#E4F1FF, #A0A0A0, #134F8A, #000000"
#696969,"#FFFFFF, #ACA0A0, #714D4D, #6F0000"
#F08080,"#FFFFFF, #ACA0A0, #714D4D, #6F0000"
#BC8F8F,"#F1EFEF, #4E3030, #714D4D, #FF7171"
#CD5C5C,"#F1EFEF, #540202, #563737, #FF9BA0"
#800000,"#000000, #A93434, #563737, #FF9BA0"
#00FFFF,"#7FFFD4, #F0FFFF, #F5F5DC, #FFE4C4"
#7FFFD4,"#AFEEEE, #00CED1, #F0FFFF, #66CDAA"
#FFE4C4,"#A5985B, #766D6A, #97A45C, #7B5959"
#0000FF,"#19454E, #300D44, #507D98, #9FB0EB"
#8A2BE2,"#340E49, #7C77C9, #1F1A7B, #843272"
#A52A2A,"#653737, #C9B377, #7A4D1A, #853240"
#DEB887,"#374E66, #C97B77, #7A281A, #7A8532"
#5F9EA0,"#6B9864, #415C78, #0D130E, #328555"
#7FFF00,"#37802B, #787641, #A3BD8F, #6C9D2D"
#6495ED,"#404793, #416E78, #8F9EA4, #783498"
#FFF8DC,"#93A960, #9B8484, #757A62, #9A9339"
#000000,"#132207, #3D0D0D, #06282C, #270529"
#00008B,"#0A678C, #580B3F, #383E4E, #6F0713"
#008B8B,"#CAE9C6, #85A07D, #686A95, #4C474E"
#B8860B,"#584C4C, #E7DFA9, #B1BAA3, #513D37"
#006400,"#020301, #7F7A5B, #404E4A, #374E37"
#8B008B,"#4F4C62, #E4CACA, #DCD1D5, #353154"
#556B2F,"#6B392F, #2F6B4C, #19201B, #AEAC83"
#E9967A,"#827B7E, #C9CBB1, #191517, #7D745C"
#8FBC8F,"#BDB48F, #758E8D, #1B201B, #62605B"
#483D8B,"#112525, #2C061B, #0F1631, #325F73"
#2F4F4F,"#091414, #333140, #323B32, #091D0E"
#00CED1,"#1A447B, #82A584, #025153, #4E7324"
#9400D3,"#5D6276, #54163B, #24142A, #340708"
#00BFFF,"#33758A, #7F98A0, #C4C0CC, #15691E"
#1E90FF,"#11202F, #8B95A0, #1F762B, #C7AACB"
#228B22,"#071B07, #3E4C3E, #5D643E, #527E80"
#DCDCDC,"#2A2A2A, #422B2B, #9A8F69, #F8C8E3"
#FFD700,"#F0E18F, #847A42, #25440E, #A77A7A"
#808080,"#1D1C1C, #4C3F3F, #3C3D17, #361927"
